"uriAudiencia","codigoAudiencia","observaciones","descripcion","materia","anio","trimestre"
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6871","nr006ar6871","proyecto de ley acoso callejero","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6911","nr006ar6911","CONSECUENCIAS DE LA REFORMA EN LA EDUCACION ESPECIAL ","Santiago, Región Metropolitana de Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar6951","nr006ar6951","Recoger su opinión acerca de la reforma laboral y conocer las perspectivas de su tramitación","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr006ar7001","nr006ar7001","central automatizada infracciones de transito","Valparaíso, Región de Valparaíso","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/au0021901","au0021901","Indicación sustitutiva proyecto de ley de reforma al Código de Aguas, boletín N° 7543-12","Alameda 1449 piso 13","Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051381","nr0051381","Presentación formal de los ejecutivos de la empresa con al senadora y entrega de información para casos de emergencia o solicitudes de contacto de la comunidad.","Barros Arana 64. Tercer Piso.","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051411","nr0051411","Boletín 9791-05, Renueva aplicación del mecanismo de reintegro parcial del impuesto específico al petróleo diésel para las empresas de transporte de carga y otorga beneficio tributario que indica. Señalan la necesidad de que se haga un estudio que obligue finalmente que todos los consumidores paguen el impuesto.","Oficina Del Senador, Senado De Santiago","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051421","nr0051421","Boletín 9791-05, Renueva aplicación del mecanismo de reintegro parcial del impuesto específico al petróleo diésel para las empresas de transporte de carga y otorga beneficio tributario que indica. Señalan la necesidad de que se haga un estudio que obligue finalmente que todos los consumidores paguen el impuesto.","Oficina Del Senador, Senado Santiago.","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051441","nr0051441","Apoyo en la promoción y cumplimiento de las partidas contenidas en la Ley de Presupuestos en el tema ferroviario.","Oficina Del Senador En El Congreso Nacional","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051901","nr0051901","Exposición sistema constructivo-estructural en base a perfiles de acero galvanizado de modo sustentable","Comite Independiente Mas, Piso 2 Senado","Ninguna de las anteriores. - ",2015,1
"http://datos.infolobby.cl/infolobby/registroaudiencia/nr0051911","nr0051911","Da a conocer perspectiva de la organización sobre boletín 9.366-04.","Ex Congreso","Ninguna de las anteriores. - ",2015,1
