Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab019308583;agenda y frutas;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);19-12-2018;regalo navidad;;;
2018;4;ab019297813;2 vasos de cristal;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);30-10-2018;visita embajador de Japon;;;
2018;4;ab019300923;libro y arreglo de nacar;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);15-11-2018;saludo Protocolar;;;
2018;4;ab019301593;espada de albacora incrustaciones e piedra;Jorge Ulloa Aguillon;AB019175825;INTENDENCIA REGIÓN DEL BÍO BÍO;ab019;Intendente(a);26-11-2018;visita a Lebu feria artesanal;;;
2018;4;ab021313223;Calendario 2019;Alicia Monserrat Otayza Rojas;AB02116656;INTENDENCIA REGIÓN METROPOLITANA DE SANTIAGO;ab021;Abogada Jefe Departamento Jurídico;26-12-2018;Navidad;;;
2018;4;ab021313243;Una bandeja de cerámica;Alicia Monserrat Otayza Rojas;AB02116656;INTENDENCIA REGIÓN METROPOLITANA DE SANTIAGO;ab021;Abogada Jefe Departamento Jurídico;20-12-2018;Navidad;;;
2018;4;ab022308773;Copa de Campeonato La Serena y Ramo de Flores.;Mirtha Patricia Arancibia Cruz;AB022174770;GOBERNACIÓN PROVINCIAL DE ARICA;ab022;Gobernador(a);19-12-2018;Agradecimientos por proyecto Rugby y saludos a Gobernadora.;;;
2018;4;ab022299193;Flores artesanales;Mirtha Patricia Arancibia Cruz;AB022174770;GOBERNACIÓN PROVINCIAL DE ARICA;ab022;Gobernador(a);05-11-2018;Felicitaciones a Gobernadora;;;
2018;4;ab044297993;Replica de La Espada de Arturo Prat;Carlos Ortega Bahamondes;AB044174905;GOBERNACIÓN PROVINCIAL DE CARDENAL CARO;ab044;Gobernador(a);26-10-2018;Aniversario de la Creacion Provincia De Cardenal Caro;;;
2018;4;ab046295133;Plato decorado por niños, recuerdo artesanal;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);23-10-2018;"aniversario n° 12 ""Escuela de Parvulos""";;;
2018;4;ab046295443;Olla de Greda, tipo bracero;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);24-10-2018;Aniversario Bomberos Colín;;;
2018;4;ab046304063;polera deportiva;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);21-11-2018;visita en gobernacion;;;
2018;4;ab046308063;3 botellas de vino, 1 mate de madera;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);19-12-2018;punto de prensa para promover el turismo de Mendosa sur;;;
2018;4;ab046298873;Juego de Ajedrez;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);08-11-2018;torneo internacional, recuerdo del viaje;;;
2018;4;ab046300053;botella de vino y frutos disecados;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);16-11-2018;visita delegación argentina comuna General Alvear;;;
2018;4;ab046300063;set descorchador de vinos;FELIPE GUILLERMO DONOSO CASTRO;AB046174708;GOBERNACIÓN PROVINCIAL DE TALCA;ab046;Gobernador(a);16-11-2018;visita delegación argentina;;;
2018;4;ab051292243;50 entradas;Robert Contreras Reyes;AB051174540;GOBERNACIÓN PROVINCIAL DE CONCEPCIÓN;ab051;Gobernador(a);09-10-2018;Partido de fútbol Deportes Concepción - Buenos Aires de Parral;;;
