Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Persona efectúa aporte;Tipo de Aporte;Valorización en Pesos
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Enero - Marzo;PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Servel;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Anónimo;Aportes en Dinero;30000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Anónimo;Aportes en Dinero;500000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;Anónimo;Aportes en Dinero;500002
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;EVOLUCION POLITICA;Aportes en Dinero;354875000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;EVOLUCION POLITICA;Aportes en Dinero;40172429
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;EVOLUCION POLITICA;Aportes en Dinero;86952571
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;JORGE ANDRES SOTO WINCKLER;Aportes en Dinero;25000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;ROBERTO ALEJANDRO DESORMEAUX MATTHEI;Aportes en Dinero;250000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Julio - Septiembre;PP011;Partido Evolución Política (Evópoli);2017;Jul - Sep;ROBERTO ALEJANDRO DESORMEAUX MATTHEI;Aportes en Dinero;250000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;ALBERTO ARIZTIA TAGLE;Aportes en Dinero;1000000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;Anónimo;Aportes en Dinero;30000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;Anónimo;Aportes en Dinero;500000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;Anónimo;Aportes en Dinero;500002
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;DANIELA CLARO FIGUEROA;Aportes en Dinero;1000000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;EVOLUCIÓN POLÍTICA;Aportes en Dinero;29524371
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;EVOLUCION POLITICA;Aportes en Dinero;66993899
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;EVOLUCION POLITICA (PRESTAMO CONTRA REEMBOLSO);Aportes en Dinero;354875000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;EVOLUCION POLITICA (PRESTAMO CONTRA REEMBOLSO);Aportes en Dinero;40172429
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;EVOLUCION POLITICA (PRESTAMO CONTRA REEMBOLSO);Aportes en Dinero;86952571
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;JORGE ANDRES SOTO WINCKLER;Aportes en Dinero;25000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;ROBERTO ALEJANDRO DESORMEAUX MATTHEI;Aportes en Dinero;250000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;ROBERTO ALEJANDRO DESORMEAUX MATTHEI;Aportes en Dinero;250000
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;TESORERIA GENERAL DE LA REPÚBLCIA (ANTICIPO cores);Aportes en Dinero;78847607
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;TESORERIA GENERAL DE LA REPÚBLCIA (Anticipo diputados);Aportes en Dinero;83548131
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2017/Octubre - Diciembre;PP011;Partido Evolución Política (Evópoli);2017;Oct - Nov;TESORERIA GENERAL DE LA REPÚBLCIA (ANTICIPO SENADORES;Aportes en Dinero;48350723
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Ene - Mar;PP011;Partido Evolución Política (Evópoli);2018;Ene - Mar;Servel;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/Aportes a campañas y gastos electorales 2018/Jul - Sep;PP011;Partido Evolución Política (Evópoli);2018;Jul - Sep;Servel;Aportes en Dinero;0
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Aporte Propio;1000000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Aporte Propio;10000000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Aporte Propio;10000000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Aporte Propio;3000000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Aporte Propio;6000000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Reembolso solicitado;12777777
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Partido Humanista;Registro de Vehiculos;900000
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Servel;Anticipo;110998956
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Servel;Anticipo;54820157
Pagina Registro de Aportes a Campañas Electorales/2017/Octubre - Diciembre;PP014;Partido Humanista (PH);2017;Oct - Dic;Servel;Anticipo Fiscal;134855323
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;EDUARDO ELIAS VERA VALENZUELA;APORTES EN DINERO (PUBLICO);10
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;JOSE TORO KEMP;APORTES EN ESPECIES (VEHICULO VOLUNTARIO POR  1 DIA);38000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;JUAN CARLOS LARA  JORQUERA;APORTES EN ESPECIES (VEHICULO VOLUNTARIO POR  1 DIA);29631
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;MARCELO SANDOVAL TILLERIA;APORTES EN ESPECIES (VEHICULO VOLUNTARIO POR  11 DIAS);352121
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2017;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;APORTE PROPIO;213287474
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;APORTES EN DINERO;13000000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;APORTES EN DINERO;18000000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;APORTES EN DINERO;20000000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;APORTES EN DINERO (SALDO CUENTA CORRIENTE - PRIMARIAS);160103
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2017;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;CREDITO BANCO ESTADO;50577915
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;OTROS APORTES  (FRASES EN RADIO CAMPAÑA MUNICIPAL 2016 POR PAGAR AL 30-04-17);13235368
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;OTROS APORTES ( PUBLICIDAD CAMPAÑA MUNICIPALES 2016 POR PAGAR);41102363
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;PARTIDO POR LA DEMOCRACIA;OTROS APORTES  (PUBLICIDAD CAMPAÑA MUNICIPALES 2016 POR PAGAR);76718300
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;SERVEL (ALCALDE);APORTES EN DINERO (ANTICIPO FISCAL);514815836
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;SERVEL (ALCALDE);APORTES EN DINERO (DIFERENCIA ANTICIPO FISCAL);6134558
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2017;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;SERVEL;ANTICIPO FISCAL;882483046
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;SERVEL (CONCEJAL);APORTES EN DINERO (ANTICIPO FISCAL);273600902
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campañas Electorales 2016;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;SERVEL (CONCEJAL);APORTES EN DINERO (DIFERENCIA ANTICIPO FISCAL);158750
Registro de Aportes a Campañas Electorales/2017/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;no aplica;Aportes en Especies;0
Registro de Aportes a Campañas Electorales/2017/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;no aplica;Aportes en Recintos;0
Registro de Aportes a Campañas Electorales/2017/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;no aplica;Aportes en Traslados;0
Registro de Aportes a Campañas Electorales/2017/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;no aplica;Otros Aportes;0
Registro de Aportes a Campañas Electorales/2017/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;Servel;Aportes en Dinero;365327983
Registro de Aportes a Campañas Electorales/2017/Abr - Jun;PP021;Partido Progresista (PRO);2017;Abr - Jun;No Aplica;Otros Aportes;
Registro de Aportes a Campañas Electorales/2017/Ene - Mar;PP021;Partido Progresista (PRO);2017;Ene - Mar;No Aplica;Otros Aportes;
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Aida Miranda;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Ana Mardones;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Benjamin Naranjo;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Carlos Ominami;Aportes en Dinero;100000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Claudio Figueroa;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Constanza Valenzuela;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Cristián Diaz;Aportes en Dinero;20000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Cristobal Perez;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;David Blanco;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Eliana Melendez Molina;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Fabiola Rampinelli Carmona;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Felipe Contardo;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;felipe Monsalve;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Felipe Morande;Aportes en Dinero;300000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Francisco Vargas;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Gabriela Peirano;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Gabriela Soto;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;German Rodriguez;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Geronimo Labrada;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Gracia Ortuzar;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Iván Escobar;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Jaime Aguilera;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Jorge Cuadros;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Jose Almuna;Aportes en Dinero;150000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Juan Peredo;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Juan Valenzuela;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Loreto Aida manzano;Aportes en Dinero;300000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Luis Jara;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Luis  Rodriguez;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Magaly Soto;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Manuela castillo;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;manuela gumucio;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Marcelo Vera;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Marcia Milaqueo;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Marco Venegas;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;maria Belen Carmona;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Mauricio Santander;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Natalia Aravena;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Nicolas menare;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Nicolas Rivera;Aportes en Dinero;50000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Oscar Tapia Olivares;Aportes en Dinero;50000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Patricia Morales;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Pedro Abarca;Aportes en Dinero;200000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Raúl Villavicencio;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Rudy Lopez Gonzales;Aportes en Dinero;100000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;sebastian Gumucio;Aportes en Dinero;2000000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Sergio Rodriguez;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Sergio Welsh;Aportes en Dinero;5000
Registro de Aportes a Campañas Electorales/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Tania Almuna Perez;Aportes en Dinero;150000
Registro de Aportes a Campañas Electorales/2018/Ene - Mar;PP021;Partido Progresista (PRO);2018;Ene - Mar;No Aplica;Otros Aportes;
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Municipal 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;No Aplica;Aportes en Especies;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Municipal 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;No Aplica;Aportes en Recintos;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Municipal 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;No Aplica;Aportes en Traslados;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Municipal 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;PARTIDO RADICAL SOCIALDEMOCRATA;Aportes en Dinero;85000000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Municipal 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;PERSONAS NATURALES;Otros Aportes;200000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;No Aplica;Aportes en Especies;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;No Aplica;Aportes en Recintos;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;No Aplica;Aportes en Traslados;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;PARTIDO RADICAL SOCIALDEMOCRATA;Aportes en Dinero;52500000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;PERSONAS NATURALES;Otros Aportes;0
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Anticipo Aporte Fiscal - Campaña Consejeros Regionales;Aporte en Dinero;151316847
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Anticipo Aporte Fiscal - Campaña Diputados;Aporte en Dinero;164615138
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Anticipo Aporte Fiscal - Campaña Senatorial;Aporte en Dinero;47062627
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Partido Radical Socialdemócrata - Campaña Diputados;Aporte en Dinero;219000000
Pagina Registro de Aportes a Campañas Electorales/Registro de Aportes a Campaña Parlamentaria-CORE Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Partido Radical Socialdemócrata - Campaña Senatorial;Aporte en Dinero;26500000
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2017;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;nada a informar;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2016;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;nada a informar;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2017;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;nada a informar;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2016;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;nada a informar;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2016;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;nada a informar;Aportes en Dinero;0
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2017;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Partido Socialista de Chile;Aportes en Dinero;350000000
Registro de Aportes a Campañas Electorales/Aportes a campañas electorales del Partido Socialista año 2017;PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Ana M. Lagos Herrera;Aportes en Dinero;5000
