Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Frutos y productos de los Bienes Patrimoniales;Pesos;31644062
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2019;Jul - Sep;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;87009389
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Cotizaciones;Pesos;20373550
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Donaciones;Pesos;887000
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;570000
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Otras Transferencias privadas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2019/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2019;Oct - Dic;Otras Transferencias públicas;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;89364020
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Cotizaciones;Pesos;13354400
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros Año 2020/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2020;Abr - Jun;Donaciones;Pesos;204200
