Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Cotización;Unidad Monetaria;Monto
Pagina Cotizaciones de sus afiliados/2017/Abril - Junio;PP019;Partido Por la Democracia (PPD);2017;Abr-Jun;Ordinaria;Pesos;15336700
Pagina Cotizaciones de sus afiliados/2017/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2017;Ene-Mar;Extraordinaria;Pesos;3077200
Pagina Cotizaciones de sus afiliados/2017/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2017;Ene-Mar;Ordinaria;Pesos;19119333
Pagina Cotizaciones de sus afiliados/2017/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2017;Jul - Sep;Extraordinaria;Pesos;32452900
Pagina Cotizaciones de sus afiliados/2017/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2017;Jul - Sep;Ordinaria;Pesos;14389400
Pagina Cotizaciones de sus afiliados/2017/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2017;Oct - Dic;Extraordinaria;Pesos;600000
Pagina Cotizaciones de sus afiliados/2017/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2017;Oct - Dic;Ordinaria;Pesos;7498000
Pagina Cotizaciones de sus afiliados/2018/Abril - Junio;PP019;Partido Por la Democracia (PPD);2018;Abr - Jun;Extraordinaria;Pesos;12826969
Pagina Cotizaciones de sus afiliados/2018/Abril - Junio;PP019;Partido Por la Democracia (PPD);2018;Abr - Jun;Ordinaria;Pesos;1498600
Pagina Cotizaciones de sus afiliados/2018/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Extraordinaria;Pesos;1988000
Pagina Cotizaciones de sus afiliados/2018/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2018;Ene - Mar;Ordinaria;Pesos;4570620
Pagina Cotizaciones de sus afiliados/2018/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2018;Jul - Sep;Extraordinaria;Pesos;1378000
Pagina Cotizaciones de sus afiliados/2018/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2018;Jul - Sep;Ordinaria;Pesos;1122140
Pagina Cotizaciones de sus afiliados/2018/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2018;Oct - Dic;Extraordinaria;Pesos;2029750
Pagina Cotizaciones de sus afiliados/2018/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2018;Oct - Dic;Ordinaria;Pesos;5915491
Pagina Cotizaciones de sus afiliados/2019/Abril - Junio;PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Extraordinaria;Pesos;974700
Pagina Cotizaciones de sus afiliados/2019/Abril - Junio;PP019;Partido Por la Democracia (PPD);2019;Abr - Jun;Ordinaria;Pesos;4568296
Pagina Cotizaciones de sus afiliados/2019/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2019;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2019;Ene - Mar;Ordinaria;Pesos;1439000
Pagina Cotizaciones de sus afiliados/2019/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2019;Jul - Sep;Extraordinaria;Pesos;5009000
Pagina Cotizaciones de sus afiliados/2019/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2019;Jul - Sep;Ordinaria;Pesos;7409000
Pagina Cotizaciones de sus afiliados/2019/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2019;Oct - Dic;Extraordinaria;Pesos;1304000
Pagina Cotizaciones de sus afiliados/2019/Octubre - Diciembre;PP019;Partido Por la Democracia (PPD);2019;Oct - Dic;Ordinaria;Pesos;6268000
Pagina Cotizaciones de sus afiliados/2020/Abril - Julio;PP019;Partido Por la Democracia (PPD);2020;Abr - Jun;Extraordinaria;Pesos;7275000
Pagina Cotizaciones de sus afiliados/2020/Abril - Julio;PP019;Partido Por la Democracia (PPD);2020;Abr - Jun;Ordinaria;Pesos;2636000
Pagina Cotizaciones de sus afiliados/2020/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2020;Ene - Mar;Extraordinaria;Pesos;20598224
Pagina Cotizaciones de sus afiliados/2020/Enero - Marzo;PP019;Partido Por la Democracia (PPD);2020;Ene - Mar;Ordinaria;Pesos;6229006
Pagina Cotizaciones de sus afiliados/2020/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2020;Jul - Sep;Extraordinaria;Pesos;16261353
Pagina Cotizaciones de sus afiliados/2020/Julio - Septiembre;PP019;Partido Por la Democracia (PPD);2020;Jul - Sep;Ordinaria;Pesos;4375499
Pagina Cotizaciones de sus afiliados/2016/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2016/Oct - Dic;PP021;Partido Progresista (PRO);2016;Oct - Dic;Ordinaria;Pesos;679493
Pagina Cotizaciones de sus afiliados/2017/Abr - Jun;PP021;Partido Progresista (PRO);2017;Abr - Jun;Extraordinaria;Pesos;4271000
Pagina Cotizaciones de sus afiliados/2017/Abr - Jun;PP021;Partido Progresista (PRO);2017;Abr - Jun;Ordinaria;Pesos;536500
Pagina Cotizaciones de sus afiliados/2017/Ene - Mar;PP021;Partido Progresista (PRO);2017;Ene - Mar;Extraordinaria;Pesos;40000
Pagina Cotizaciones de sus afiliados/2017/Ene - Mar;PP021;Partido Progresista (PRO);2017;Ene - Mar;Ordinaria;Pesos;501859
Pagina Cotizaciones de sus afiliados/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Extraordinaria;Pesos;210000
Pagina Cotizaciones de sus afiliados/2017/Jul-Sept;PP021;Partido Progresista (PRO);2017;Jul - Sep;Ordinaria;Pesos;1541500
Pagina Cotizaciones de sus afiliados/2017/Oct - Dic;PP021;Partido Progresista (PRO);2017;Oct - Dic;Extraordinaria;Pesos;210000
Pagina Cotizaciones de sus afiliados/2017/Oct - Dic;PP021;Partido Progresista (PRO);2017;Oct - Dic;Ordinaria;Pesos;687000
Pagina Cotizaciones de sus afiliados/2018/abr - Jun;PP021;Partido Progresista (PRO);2018;Abr - Jun;Ordinaria;Pesos;259000
Pagina Cotizaciones de sus afiliados/2018/abr - Jun;PP021;Partido Progresista (PRO);2018;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Ene - Mar;PP021;Partido Progresista (PRO);2018;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Ene - Mar;PP021;Partido Progresista (PRO);2018;Ene - Mar;Ordinaria;Pesos;82000
Pagina Cotizaciones de sus afiliados/2016/Cotizaciones de sus afiliados Trimestre Oct - Dic 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2016/Cotizaciones de sus afiliados Trimestre Oct - Dic 2016;PP022;Partido Radical de Chile;2016;Oct - Dic;Ordinaria;Pesos;5281565
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Abr - Jun 2017;PP022;Partido Radical de Chile;2017;Abr - Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Abr - Jun 2017;PP022;Partido Radical de Chile;2017;Abr - Jun;Ordinarias;Pesos;3027000
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Ene - Mar 2017;PP022;Partido Radical de Chile;2017;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Ene - Mar 2017;PP022;Partido Radical de Chile;2017;Ene - Mar;Ordinaria;Pesos;2734652
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Jul - Sep 2017;PP022;Partido Radical de Chile;2017;Jul - Sep;Ordinarias;Pesos;2595000
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Cotizaciones de sus afiliados Trimestre Oct - Dic 2017;PP022;Partido Radical de Chile;2017;Oct - Dic;Ordinarias;Pesos;4104000
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Abr - Jun 2018;PP022;Partido Radical de Chile;2018;Abr - Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Abr - Jun 2018;PP022;Partido Radical de Chile;2018;Abr - Jun;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Ene - Mar 2018;PP022;Partido Radical de Chile;2018;Ene - Mar;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Ene - Mar 2018;PP022;Partido Radical de Chile;2018;Ene - Mar;Ordinarias;Pesos;1487000
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Jul-Sep 2018;PP022;Partido Radical de Chile;2018;JULIO- SEPTIEMBRE;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Jul-Sep 2018;PP022;Partido Radical de Chile;2018;JULIO- SEPTIEMBRE;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Oct- Dic 2018;PP022;Partido Radical de Chile;2018;Octubre - Diciembre;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Cotizaciones de sus afiliados Trimestre Oct- Dic 2018;PP022;Partido Radical de Chile;2018;Octubre - Diciembre;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Abr - Jun 2019;PP022;Partido Radical de Chile;2019;Abr-Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Abr - Jun 2019;PP022;Partido Radical de Chile;2019;Abr-Jun;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados trimestre Ene-Mar 2019;PP022;Partido Radical de Chile;2019;Ene-Mar;Extraordinarias;Pesos;1000000
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados trimestre Ene-Mar 2019;PP022;Partido Radical de Chile;2019;Ene-Mar;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Jul - Sep 2019;PP022;Partido Radical de Chile;2019;Jul - Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Jul - Sep 2019;PP022;Partido Radical de Chile;2019;Jul - Sep;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Oct - Dic 2019;PP022;Partido Radical de Chile;2019;Oct - Dic;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2019/Cotizaciones de sus afiliados Trimestre Oct - Dic 2019;PP022;Partido Radical de Chile;2019;Oct - Dic;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Abr - Jun 2020;PP022;Partido Radical de Chile;2020;Abr - Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Abr - Jun 2020;PP022;Partido Radical de Chile;2020;Abr - Jun;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Ene - Mar 2020;PP022;Partido Radical de Chile;2020;Ene - Mar;Extraordinarias;Pesos;1000000
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Ene - Mar 2020;PP022;Partido Radical de Chile;2020;Ene - Mar;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Jul - Sep 2020;PP022;Partido Radical de Chile;2020;Jul - Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2020/Cotizaciones de sus afiliados Trimestre Jul - Sep 2020;PP022;Partido Radical de Chile;2020;Jul - Sep;Ordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Ordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Ordinaria;Pesos;37901000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Ordinaria;Pesos;31390989
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Ordinaria;Pesos;44623540
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Ordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Ordinaria;Pesos;31523000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2016;PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Ordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2017;PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Ordinaria;Pesos;37703610
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;abr - jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2018;PP025;Partido Socialista de Chile PS;2019;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;abr - jun;Ordinaria;Pesos;31427700
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2018;PP025;Partido Socialista de Chile PS;2019;Abr - Jun;Ordinaria;Pesos;31427700
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2018;PP025;Partido Socialista de Chile PS;2019;ene - mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;ene - mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;ene - mar;Ordinaria;Pesos;25299000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2018;PP025;Partido Socialista de Chile PS;2019;ene - mar;Ordinaria;Pesos;25299000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;jul - sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;jul - sep;Ordinaria;Pesos;24307000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;oct - dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2019;PP025;Partido Socialista de Chile PS;2019;oct - dic;Ordinaria;Pesos;20328000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;abr - jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;abr - jun;Ordinaria;Pesos;13885000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;ene - mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;ene - mar;Ordinaria;Pesos;15500000
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;jul -sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/Cotizaciones de los afiliados año 2020;PP025;Partido Socialista de Chile PS;2020;jul -sep;Ordinaria;Pesos;13065000
Pagina Cotizaciones de sus afiliados/2017/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2017;Abr - Jun;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2017;Abr - Jun;Ordinarias;Pesos;23214655
Pagina Cotizaciones de sus afiliados/2017/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2017;Ene - Mar;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2017;Ene - Mar;Ordinarias;Pesos;11086000
Pagina Cotizaciones de sus afiliados/2017/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2017;Jul - Sep;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2017;Jul - Sep;Ordinarias;Pesos;23012214
Pagina Cotizaciones de sus afiliados/2017/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Extraordinarias;Pesos;0
Pagina Cotizaciones de sus afiliados/2017/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2017;Oct - Dic;Ordinarias;Pesos;17085307
Pagina Cotizaciones de sus afiliados/2018/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2018;Abr - Jun;Extraordinarias;Pesos;3765327
Pagina Cotizaciones de sus afiliados/2018/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2018;Abr - Jun;Ordinarias;Pesos;30662245
Pagina Cotizaciones de sus afiliados/2018/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2018;Ene - Mar;Extraordinarias;Pesos;9166000
Pagina Cotizaciones de sus afiliados/2018/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2018;Ene - Mar;Ordinarias;Pesos;23222468
Pagina Cotizaciones de sus afiliados/2018/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2018;Jul - Sep;Extraordinarias;Pesos;2575000
Pagina Cotizaciones de sus afiliados/2018/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2018;Jul - Sep;Ordinarias;Pesos;28005440
Pagina Cotizaciones de sus afiliados/2018/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2018;Oct - Dic;Extraordinarias;Pesos;10914000
Pagina Cotizaciones de sus afiliados/2018/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2018;Oct - Dic;Ordinarias;Pesos;24243746
Pagina Cotizaciones de sus afiliados/2019/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2019;Abr - Jun;Extraordinarias;Pesos;3773092
Pagina Cotizaciones de sus afiliados/2019/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2019;Abr - Jun;Ordinarias;Pesos;29573860
Pagina Cotizaciones de sus afiliados/2019/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2019;Ene - Mar;Extraordinarias;Pesos;5535000
Pagina Cotizaciones de sus afiliados/2019/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2019;Ene - Mar;Ordinarias;Pesos;28147762
Pagina Cotizaciones de sus afiliados/2019/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2019;Jul - Sep;Extraordinarias;Pesos;3525000
Pagina Cotizaciones de sus afiliados/2019/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2019;Jul - Sep;Ordinarias;Pesos;28508783
Pagina Cotizaciones de sus afiliados/2019/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2019;Oct - Dic;Extraordinarias;Pesos;18918936
Pagina Cotizaciones de sus afiliados/2019/Octubre - Diciembre;PP026;Partido Unión Demócrata Independiente - UDI;2019;Oct - Dic;Ordinarias;Pesos;27497724
Pagina Cotizaciones de sus afiliados/2020/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2020;Abr - Jun;Extraordinarias;Pesos;20520000
Pagina Cotizaciones de sus afiliados/2020/Abril - Junio;PP026;Partido Unión Demócrata Independiente - UDI;2020;Abr - Jun;Ordinarias;Pesos;23985000
Pagina Cotizaciones de sus afiliados/2020/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2020;Ene - Mar;Extraordinarias;Pesos;62092408
Pagina Cotizaciones de sus afiliados/2020/Enero - Marzo;PP026;Partido Unión Demócrata Independiente - UDI;2020;Ene - Mar;Ordinarias;Pesos;26698000
Pagina Cotizaciones de sus afiliados/2020/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2020;Jul - Sep;Extraordinarias;Pesos;13832050
Pagina Cotizaciones de sus afiliados/2020/Julio - Septiembre;PP026;Partido Unión Demócrata Independiente - UDI;2020;Jul - Sep;Ordinarias;Pesos;20055000
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Abr - Jun;Ordinaria;Pesos;10345782
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Ene - Mar;Ordinaria;Pesos;3503072
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Jul - Sep;Ordinaria;Pesos;11403100
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2019;PP027;Comunes;2019;Oct - Dic;Ordinaria;Pesos;6750000
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Abr - Jun;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Abr - Jun;Ordinaria;Pesos;7890000
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Ene - Mar;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Ene - Mar;Ordinaria;Pesos;8925000
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados./2020;PP027;Comunes;2020;Jul - Sep;Ordinaria;Pesos;4346600
Pagina Cotizaciones de sus afiliados/2016/Octubre-Diciembre;PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2016/Octubre-Diciembre;PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Ordinaria;Pesos;36490839
Pagina Cotizaciones de sus afiliados/2017/Abr - Jun;PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Extraordinaria;Pesos;10957500
Pagina Cotizaciones de sus afiliados/2017/Abr - Jun;PP028;Partido Renovación Nacional (RN);2017;Abr - Jun;Ordinaria;Pesos;6368000
Pagina Cotizaciones de sus afiliados/2017/Ene - Mar;PP028;Partido Renovación Nacional (RN);2017;Ene - Mar;Extraordinaria;Pesos;12315883
Pagina Cotizaciones de sus afiliados/2017/Ene - Mar;PP028;Partido Renovación Nacional (RN);2017;Ene - Mar;Ordinaria;Pesos;5704616
Pagina Cotizaciones de sus afiliados/2017/Jul - Sep;PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Extraordinaria;Pesos;4951000
Pagina Cotizaciones de sus afiliados/2017/Jul - Sep;PP028;Partido Renovación Nacional (RN);2017;Jul - Sep;Ordinaria;Pesos;6756000
Pagina Cotizaciones de sus afiliados/2017/Oct - Dic;PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Extraordinaria;Pesos;7510000
Pagina Cotizaciones de sus afiliados/2017/Oct - Dic;PP028;Partido Renovación Nacional (RN);2017;Oct - Dic;Ordinaria;Pesos;5409000
Pagina Cotizaciones de sus afiliados/2018/Abr - Jun;PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Extraordinaria;Pesos;10744001
Pagina Cotizaciones de sus afiliados/2018/Abr - Jun;PP028;Partido Renovación Nacional (RN);2018;Abr - Jun;Ordinaria;Pesos;6634000
Pagina Cotizaciones de sus afiliados/2018/Ene - Mar;PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Extraordinaria;Pesos;9837250
Pagina Cotizaciones de sus afiliados/2018/Ene - Mar;PP028;Partido Renovación Nacional (RN);2018;Ene - Mar;Ordinaria;Pesos;6298000
Pagina Cotizaciones de sus afiliados/2018/Jul - Sep;PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Extraordinaria;Pesos;0
Pagina Cotizaciones de sus afiliados/2018/Jul - Sep;PP028;Partido Renovación Nacional (RN);2018;Jul - Sep;Ordinaria;Pesos;11480415
Pagina Cotizaciones de sus afiliados/2018/Oct - Dic;PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Extraordinaria;Pesos;9190600
Pagina Cotizaciones de sus afiliados/2018/Oct - Dic;PP028;Partido Renovación Nacional (RN);2018;Oct - Dic;Ordinaria;Pesos;66564212
Pagina Cotizaciones de sus afiliados/2019/Abr - Jun;PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Extraordinaria;Pesos;14218895
Pagina Cotizaciones de sus afiliados/2019/Abr - Jun;PP028;Partido Renovación Nacional (RN);2019;Abr - Jun;Ordinaria;Pesos;24485296
Pagina Cotizaciones de sus afiliados/2019/Ene - Mar;PP028;Partido Renovación Nacional (RN);2019;Ene - Mar;Extraordinaria;Pesos;1484000
