Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Campaña;Item;Unidad Monetaria;Monto;Estado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;15000 VOLANTES;Pesos;357000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;1 ROLLER, 20 BANDERAS;Pesos;124950;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;20000 MIL VOLANTES;Pesos;357000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;20000 MIL VOLANTES PUBLICITARIOS;Pesos;476000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;2000 AFICHES;Pesos;205870;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;240000 VOLANTES;Pesos;1886150;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;30000 VOLANTES;Pesos;714000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;35000 VOLANTES;Pesos;833000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;3 CARTA CERTIFICADA NACIONAL ESTANDAR;Pesos;270250;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;6 ROLLER, 6 LIENZOS;Pesos;255612;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;96 BANDERAS PUBLICITARIAS;Pesos;456960;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ACTUACION ARTISTICA;Pesos;277778;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ACTUACION CIERRE DE CAMPAÑA;Pesos;6500000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADHESIVO PARA AUTOMOVILES;Pesos;270000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADMINISTRACION ELECTORAL;Pesos;1000000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADMINISTRACION ELECTORAL;Pesos;167000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADMINISTRACION ELECTORAL;Pesos;444444;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADMINISTRACION ELECTORAL;Pesos;611111;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;ADMINISTRACION ELECTORAL;Pesos;655556;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;APORTE A CANDIDATO;Pesos;10000000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;APORTE A CANDIDATO;Pesos;10000000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;APORTE A CANDIDATO;Pesos;10000000;Aprobado
Pagina Registro de Gastos efectuados en Campañas Electorales/Gastos efectuados en campaña año 2017/OCTUBRE - DICIEMBRE;PP007;Partido Comunista de Chile (PCCH);2017;Oct - Dic;Diputados;APORTE A CANDIDATO;Pesos;1250000;Aprobado
