"codigoViaje","destino","pasivo","codigoPasivo","organismo","IdOrPortal","cargo","fechaInicio","fechaTermino","descripcion","costo","financistas"
"mu2081162352","Santiago","Eliana Guiñez Núñez","MU20817688","MUNICIPALIDAD DE PEMUCO","mu208","Concejal(a)",2015-03-12,2015-03-14,"Participación en el Curso: ""Modificaciones Ley orgánica constitucional de municipalidades, proceso de instauración de nuevos cargos"" - ",171964,"   I. Municipalidad de Pemuco - "
"mu2821385092","Punta Arenas","MARIO ALEJANDRO SABAG COUCHOT","MU28214028","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-02-08,2015-02-15,"Participar en seminario de ""Evaluación de Proyectos y Taller de Planificación"". - ",1165370,"   Ilustre Municipalidad de San Carlos - "
"mu2821385102","Las Ovejas, República Argentina.","MARIO ALEJANDRO SABAG COUCHOT","MU28214028","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-03-12,2015-03-15,"Participar de ""Encuentro Binacional pro apertura del paso fronterizo Los Tabanos - Vaca Leuquen.  Se cruza la cordillera a caballo ida y regreso por el sector El Roble, Chile. - ",521822,"   Ilustre Municipalidad de San Carlos - "
"mu2821385112","Viña del Mar, Chile.","MARIO ALEJANDRO SABAG COUCHOT","MU28214028","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-03-25,2015-03-29,"Participar en seminario de ""Formulación de Proyectos de Seguridad Ciudadana y Actividades de carácter social y rehabilitación de drogras"". - ",812899,"   Ilustre Municipalidad de San Carlos - "
"mu2821580862","Pucón","LUCRECIA ADRIANA FLORES RODRIGUEZ","MU28214055","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-01-11,2015-01-18,"Formulación y Seguimiento de proyectos de inversión social - ",959102,"   Municipalidad de San Carlos - "
"mu2821581022","Calbuco","SERGIO JABOB RUIZ AEDO","MU28214062","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-01-13,2015-01-18,"Planificación Urbana y medio ambiente - ",817602,"   Municipalidad de San Carlos - "
"mu2821581062","Pucon","SERGIO JABOB RUIZ AEDO","MU28214062","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-02-08,2015-02-14,"Comuna mágica y emprendedora, herramienta para generar desarrollo económico local. - ",917602,"   Municipalidad de San carlos - "
"mu2821581152","Pucon","SERGIO JABOB RUIZ AEDO","MU28214062","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-02-15,2015-02-22,"Análisis de nuevas leyes de desarrollo comunal. - ",840900,"   Municipalidad de San carlos - "
"mu2821581202","LAS OVEJAS, ARGENTINA","SERGIO JABOB RUIZ AEDO","MU28214062","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-03-12,2015-03-15,"Participar en Encuentro Binacional pro-apertura paso fronterizo Chile-Argentina, San Fabian - las Ovejas. - ",456818,"   Municipalidad de San Carlos - "
"mu2821581262","Santiago","SERGIO JABOB RUIZ AEDO","MU28214062","MUNICIPALIDAD DE SAN CARLOS","mu282","Concejal(a)",2015-03-25,2015-03-29,"Participar de la nueva Ley de lobby y su reglamento. - ",764196,"   Municipalidad de San Carlos - "
